,level,l1,l2,l3,l4,序号,条款,资料,审计程序,判断条件,结构,审计子程序
0,第一级安全测评要求,6.1 安全测评通用要求,6.1.1 安全物理环境,6.1.1.1 物理访问控制,6.1.1.1 测评单元(L1-PES1-01),L1-PES1-01,机房出入口应安排专人值守或配置电子门禁系统，控制、鉴别和记录进入的人员；,机房电子门禁系统和值守记录；,应核查是否安排专人值守或配置电子门禁系统；,若以上测评实施结论为是，则符合本测评单元指标要求，否则不符合本测评单元指标要求。,第一级安全测评要求/6.1 安全测评通用要求/6.1.1 安全物理环境/6.1.1.1 物理访问控制/6.1.1.1 测评单元(L1-PES1-01),应核查是否安排专人值守或配置电子门禁系统；
1,第一级安全测评要求,6.1 安全测评通用要求,6.1.1 安全物理环境,6.1.1.2 防盗窃和防破坏,6.1.1.2 测评单元(L1-PES1-02),L1-PES1-02,应将设备或主要部件进行固定，并设置明显的不易除去的标识；,机房设备或主要部件；,1）应核查机房内设备或主要部件是否固定；应核查重要设备是否安装、固定在机柜内或机架上；2）应核查机房内设备或主要部件上是否设置了明显且不易除去的标识；,若1)和2)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第一级安全测评要求/6.1 安全测评通用要求/6.1.1 安全物理环境/6.1.1.2 防盗窃和防破坏/6.1.1.2 测评单元(L1-PES1-02),应核查机房内设备或主要部件是否固定；应核查重要设备是否安装、固定在机柜内或机架上
2,第一级安全测评要求,6.1 安全测评通用要求,6.1.1 安全物理环境,6.1.1.2 防盗窃和防破坏,6.1.1.2 测评单元(L1-PES1-02),L1-PES1-02,应将设备或主要部件进行固定，并设置明显的不易除去的标识；,机房设备或主要部件；,1）应核查机房内设备或主要部件是否固定；应核查重要设备是否安装、固定在机柜内或机架上；2）应核查机房内设备或主要部件上是否设置了明显且不易除去的标识；,若1)和2)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第一级安全测评要求/6.1 安全测评通用要求/6.1.1 安全物理环境/6.1.1.2 防盗窃和防破坏/6.1.1.2 测评单元(L1-PES1-02),应核查机房内设备或主要部件上是否设置了明显且不易除去的标识；
3,第一级安全测评要求,6.1 安全测评通用要求,6.1.1 安全物理环境,6.1.1.3 防雷击,6.1.1.3 测评单元(L1-PES1-03),L1-PES1-03,应将各类机柜、设施和设备等通过接地系统安全接地；,机房；,应核查机房内机柜、设施和设备等是否进行接地处理；,若以上测评实施结论为是，则符合本测评单元指标要求，否则不符合本测评单元指标要求。,第一级安全测评要求/6.1 安全测评通用要求/6.1.1 安全物理环境/6.1.1.3 防雷击/6.1.1.3 测评单元(L1-PES1-03),应核查机房内机柜、设施和设备等是否进行接地处理；
4,第一级安全测评要求,6.1 安全测评通用要求,6.1.1 安全物理环境,6.1.1.4 防火,6.1.1.4 测评单元(L1-PES1-04),L1-PES1-04,机房应设置灭火设备；,机房灭火设备；,应核查机房内是否配备灭火设备；,若以上测评实施结论为是，则符合本测评单元指标要求，否则不符合本测评单元指标要求。,第一级安全测评要求/6.1 安全测评通用要求/6.1.1 安全物理环境/6.1.1.4 防火/6.1.1.4 测评单元(L1-PES1-04),应核查机房内是否配备灭火设备；
5,第一级安全测评要求,6.1 安全测评通用要求,6.1.1 安全物理环境,6.1.1.5 防水和防潮,6.1.1.5 测评单元(L1-PES1-05),L1-PES1-05,应采取措施防止雨水通过机房窗户、屋顶和墙壁渗透；,机房；,应核查窗户、屋顶和墙壁是否采取了防雨水渗透的措施；,若以上测评实施结论为是，则符合本测评单元指标要求，否则不符合本测评单元指标要求。,第一级安全测评要求/6.1 安全测评通用要求/6.1.1 安全物理环境/6.1.1.5 防水和防潮/6.1.1.5 测评单元(L1-PES1-05),应核查窗户、屋顶和墙壁是否采取了防雨水渗透的措施；
6,第一级安全测评要求,6.1 安全测评通用要求,6.1.1 安全物理环境,6.1.1.6 温湿度控制,6.1.1.6 测评单元(L1-PES1-06),L1-PES1-06,应设置必要的温湿度调节设施，使机房温湿度的变化在设备运行所允许的范围之内；,机房温湿度控制设施；,1)应核查机房内是否配备了温湿度调节设施；2)应核查温湿度是否在设备运行所允许的范围之内；,若1)和2)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第一级安全测评要求/6.1 安全测评通用要求/6.1.1 安全物理环境/6.1.1.6 温湿度控制/6.1.1.6 测评单元(L1-PES1-06),应核查机房内是否配备了温湿度调节设施
7,第一级安全测评要求,6.1 安全测评通用要求,6.1.1 安全物理环境,6.1.1.6 温湿度控制,6.1.1.6 测评单元(L1-PES1-06),L1-PES1-06,应设置必要的温湿度调节设施，使机房温湿度的变化在设备运行所允许的范围之内；,机房温湿度控制设施；,1)应核查机房内是否配备了温湿度调节设施；2)应核查温湿度是否在设备运行所允许的范围之内；,若1)和2)测评实施结论均为是，则符合本测评单元指标要求；测评实施结论均为否，则不符合本测评单元指标要求；否则部分符合本测评单元指标要求。,第一级安全测评要求/6.1 安全测评通用要求/6.1.1 安全物理环境/6.1.1.6 温湿度控制/6.1.1.6 测评单元(L1-PES1-06),应核查温湿度是否在设备运行所允许的范围之内；
8,第一级安全测评要求,6.1 安全测评通用要求,6.1.1 安全物理环境,6.1.1.7 电力供应,6.1.1.7 测评单元(L1-PES1-07),L1-PES1-07,应在机房供电线路上配置稳压器和过电压防护设备；,机房供电设施；,应核查供电线路上是否配置了稳压器和过电压防护设备；,若以上测评实施结论为是，则符合本测评单元指标要求，否则不符合本测评单元指标要求。,第一级安全测评要求/6.1 安全测评通用要求/6.1.1 安全物理环境/6.1.1.7 电力供应/6.1.1.7 测评单元(L1-PES1-07),应核查供电线路上是否配置了稳压器和过电压防护设备；
9,第一级安全测评要求,6.1 安全测评通用要求,6.1.2 安全通信网络,6.1.2.1 通信传输,6.1.2.1 测评单元(L1-CNS1-01),L1-CNS1-01,应采用校验技术保证通信过程中数据的完整性；,提供校验技术功能的设备或组件；,应核查是否在数据传输过程中使用校验技术来保护其完整性；,若以上测评实施结论为是，则符合本测评单元指标要求，否则不符合本测评单元指标要求。,第一级安全测评要求/6.1 安全测评通用要求/6.1.2 安全通信网络/6.1.2.1 通信传输/6.1.2.1 测评单元(L1-CNS1-01),应核查是否在数据传输过程中使用校验技术来保护其完整性；
