,level,l1,l2,l3,序号,条款,资料,审计程序,判断条件,结构,审计子程序
0,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.1 物理位置选择,L3-PES1-01,机房场地应选择在具有防震、防风和防雨等能力的建筑内。,记录表单类文档和机房。,1) 应核查所在建筑物是否具有建筑物抗震设防审批文档。2) 应核查机房是否不存在雨水渗漏。3) 应核查机房门窗是否不存在因风导致的尘土严重。4) 应核查屋顶、墙体、门窗和地面等是否没有破损开裂。,如果1）～4）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.1 物理位置选择, 应核查所在建筑物是否具有建筑物抗震设防审批文档
1,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.1 物理位置选择,L3-PES1-01,机房场地应选择在具有防震、防风和防雨等能力的建筑内。,记录表单类文档和机房。,1) 应核查所在建筑物是否具有建筑物抗震设防审批文档。2) 应核查机房是否不存在雨水渗漏。3) 应核查机房门窗是否不存在因风导致的尘土严重。4) 应核查屋顶、墙体、门窗和地面等是否没有破损开裂。,如果1）～4）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.1 物理位置选择, 应核查机房是否不存在雨水渗漏
2,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.1 物理位置选择,L3-PES1-01,机房场地应选择在具有防震、防风和防雨等能力的建筑内。,记录表单类文档和机房。,1) 应核查所在建筑物是否具有建筑物抗震设防审批文档。2) 应核查机房是否不存在雨水渗漏。3) 应核查机房门窗是否不存在因风导致的尘土严重。4) 应核查屋顶、墙体、门窗和地面等是否没有破损开裂。,如果1）～4）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.1 物理位置选择, 应核查机房门窗是否不存在因风导致的尘土严重
3,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.1 物理位置选择,L3-PES1-01,机房场地应选择在具有防震、防风和防雨等能力的建筑内。,记录表单类文档和机房。,1) 应核查所在建筑物是否具有建筑物抗震设防审批文档。2) 应核查机房是否不存在雨水渗漏。3) 应核查机房门窗是否不存在因风导致的尘土严重。4) 应核查屋顶、墙体、门窗和地面等是否没有破损开裂。,如果1）～4）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.1 物理位置选择, 应核查屋顶、墙体、门窗和地面等是否没有破损开裂。
4,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.1 物理位置选择,L3-PES1-02,机房场地应避免设在建筑物的顶层或地下室，否则应加强防水和防潮措施。,机房。,应核查机房是否不位于所在建筑物的顶层或地下室，如果否，则核查机房是否采取了防水和防潮措施。,如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.1 物理位置选择,应核查机房是否不位于所在建筑物的顶层或地下室，如果否，则核查机房是否采取了防水和防潮措施。
5,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.1 物理位置选择,L3-PES1-03,机房应避开火灾危险程度高的区域，周围100米内不得有加油站、燃气站等危险建筑。（F3）,机房。,应核查机房是否不位于火灾危险程度高的区域，周围100米内是否没有加油站、燃气站等危险建筑。,如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.1 物理位置选择,应核查机房是否不位于火灾危险程度高的区域，周围100米内是否没有加油站、燃气站等危险建筑。
6,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.2 物理访问控制,L3-PES1-04,机房出入口应配置电子门禁系统，控制、鉴别和记录进入的人员。,机房电子门禁系统。,1) 应核查机房出入口是否配置电子门禁系统。2) 应核查电子门禁系统是否能够控制、鉴别和记录进入的人员。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.2 物理访问控制, 应核查机房出入口是否配置电子门禁系统
7,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.2 物理访问控制,L3-PES1-04,机房出入口应配置电子门禁系统，控制、鉴别和记录进入的人员。,机房电子门禁系统。,1) 应核查机房出入口是否配置电子门禁系统。2) 应核查电子门禁系统是否能够控制、鉴别和记录进入的人员。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.2 物理访问控制, 应核查电子门禁系统是否能够控制、鉴别和记录进入的人员。
8,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.2 物理访问控制,L3-PES1-05,应对机房划分区域进行管理，区域和区域之间设置物理隔离装置，在重要区域前设置交付或安装等过渡区域。（F3）,机房。,1) 应核查机房是否划分区域进行管理，是否在区域和区域之间设置物理隔离装置。2) 应核查机房是否在重要区域前设置交付或安装等过渡区域。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.2 物理访问控制, 应核查机房是否划分区域进行管理，是否在区域和区域之间设置物理隔离装置
9,第三级测评要求,7.1 安全测评通用要求,7.1.1 安全物理环境,7.1.1.2 物理访问控制,L3-PES1-05,应对机房划分区域进行管理，区域和区域之间设置物理隔离装置，在重要区域前设置交付或安装等过渡区域。（F3）,机房。,1) 应核查机房是否划分区域进行管理，是否在区域和区域之间设置物理隔离装置。2) 应核查机房是否在重要区域前设置交付或安装等过渡区域。,如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。,第三级测评要求/7.1 安全测评通用要求/7.1.1 安全物理环境/7.1.1.2 物理访问控制, 应核查机房是否在重要区域前设置交付或安装等过渡区域。
